,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
11,78," SD"," ",12.91,"SAN MARCOS, TWIN OAKS   VALLEY ROAD INTERCHANGE                                                               ",10700,123000,117000,10900,125000,119000,
11,78," SD"," ",14.24,"SAN MARCOS, RICHLAND ROAD INTERCHANGE                                                                         ",10900,125000,119000,10800,124000,118000,
11,78," SD"," ",15.49,"NORDAHL ROAD INTERCHANGE                                                                                      ",10800,124000,118000,10900,119000,117000,
11,78," SD","R",16.54,"ESCONDIDO, JCT. RTE. 15                                                                                       ",10900,119000,117000,6000,69000,66000,
11,78," SD","R",17.27,"ESCONDIDO, CENTRE CITY PARKWAY                                                                                ",6000,69000,66000,3750,41000,40000,
11,78," SD","R",17.34,"END FREEWAY                                                                                                   ",,,,,,,
11,78," SD","N",17.68,"ESCONDIDO, BROADWAY                                                                                           ",3750,41000,40000,2050,22800,22200,
11,78," SD","N",17.73,"MILEPOST EQUATION  =T17.68                                                                                    ",,,,,,,
11,78," SD","T",17.82,"ESCONDIDO, MISSION AVENUE                                                                                     ",2050,22800,22200,1900,21100,20500,
11,78," SD","T",18.07,"ESCONDIDO, WASHINGTON AVENUE                                                                                  ",1900,21100,20500,1800,19700,19100,
11,78," SD","T",18.41,"ESCONDIDO, HICKORY STREET                                                                                     ",1800,19700,19100,2100,24000,18200,
11,78," SD","T",19.09,"ESCONDIDO, ASH STREET                                                                                         ",2100,24000,18200,2050,23800,17900,
11,78," SD","T",19.27,"ESCONDIDO, VALLEY PARKWAY BOULEVARD                                                                           ",2050,23800,17900,2050,23400,17600,
11,78," SD","T",19.53,"ESCONDIDO, GRAND AVENUE 18.94                                                                                 ",2050,23400,17600,1950,22500,16900,
11,78," SD"," ",19.22,"ESCONDIDO, OAK HILL DRIVE/5TH AVENUE                                                                          ",1950,22500,16900,1550,17800,13400,
11,78," SD"," ",20.19,"17TH AVENUE                                                                                                   ",1750,20500,15400,1350,15500,11600,
11,78," SD"," ",20.64,"BEAR VALLEY PARKWAY                                                                                           ",1350,15500,11600,1350,15900,11900,
11,78," SD"," ",20.95,"SUMMIT DRIVE                                                                                                  ",1350,15900,11900,920,10700,8000,
11,78," SD"," ",22.8,"SAN PASQUAL ROAD                                                                                              ",920,10700,8000,1200,12800,9600,
11,78," SD"," ",24.02,"SAN DIEGO, WILD ANIMAL   PARK ROAD                                                                            ",1200,12800,9600,700,8200,5600,
11,78," SD","R",27.32,"BANDY CANYON ROAD                                                                                             ",700,8200,5600,940,10900,7500,
11,78," SD","R",27.58,"MILEPOST EQUATION   =27.59                                                                                    ",,,,,,,
11,78," SD"," ",33.05,"VILLA ROAD                                                                                                    ",940,10900,7500,1050,12100,8300,
11,78," SD"," ",35.12,"OLIVE STREET                                                                                                  ",1100,12700,8700,840,10300,9900,
11,78," SD"," ",35.52,"RAMONA, JCT. RTE. 67 SOUTHWEST                                                                                ",840,10300,9900,2050,23000,22400,
11,78," SD"," ",35.74,"RAMONA, EIGHTH STREET                                                                                         ",2050,23000,22400,1800,20100,19600,
11,78," SD"," ",35.85,"RAMONA, SEVENTH STREET                                                                                        ",1800,20100,19600,1450,16400,16000,
11,78," SD"," ",35.96,"RAMONA, SIXTH STREET                                                                                          ",1450,16400,16000,1350,15000,14600,
11,78," SD"," ",36.29,"RAMONA, THIRD STREET                                                                                          ",1200,13100,12800,900,10100,9800,
11,78," SD"," ",37.11,"MAGNOLIA AVENUE                                                                                               ",900,10100,9800,640,7100,6900,
11,78," SD"," ",41.96,"SUTHERLAND DAM ROAD                                                                                           ",640,7100,6900,600,5400,4850,
11,78," SD"," ",51.11,"SANTA YSABEL, WEST JCT. RTE. 79                                                                               ",600,5400,4850,520,4100,3900,
11,78," SD"," ",56.91,"PINE HILLS ROAD                                                                                               ",520,4100,3900,580,4550,4300,
11,78," SD"," ",57.88,"JULIAN, MAIN/WASHINGTON STREETS                                                                               ",580,4550,4300,680,5400,5100,
11,78," SD"," ",58.13,"JULIAN, EAST JCT. RTE. 79                                                                                     ",680,5400,5100,480,3750,3550,
11,78," SD"," ",58.64,"MANZANITA ROAD                                                                                                ",360,2850,2700,200,1600,1500,
11,78," SD"," ",59.24,"CANYON DRIVE                                                                                                  ",200,1600,1500,150,1150,1100,
11,78," SD"," ",69.69,"VALLECITOS ROAD                                                                                               ",160,1250,1200,170,1350,1250,
11,78," SD"," ",70.01,"SAN FELIPE ROAD                                                                                               ",170,1350,1250,80,890,750,
11,78," SD"," ",76.84,"YAQUI PASS ROAD                                                                                               ",80,890,750,90,1050,870,
11,78," SD"," ",85.61,"BORREGO SPRINGS ROAD                                                                                          ",90,1050,870,140,1600,1350,
11,78," SD"," ",95.31,"SAN DIEGO COUNTY                                                                                              ","      ","       ","       ","      ","       ","       ",
11,78,"IMP"," ",0,"IMPERIAL COUNTY NORTH JCT. RTE. 86                                                                            ",60,700,540,"      ","       ","       ",
11,78,"IMP"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
11,78,"IMP"," ",13.18,"BRAWLEY, SOUTH JCT. RTE. 86                                                                                   ","      ","       ","       ",1550,19400,18100,
11,78,"IMP"," ",13.42,"BRAWLEY, THIRD STREET                                                                                         ",1550,19400,18100,2200,27500,25500,
11,78,"IMP"," ",13.71,"BRAWLEY, SIXTH STREET                                                                                         ",1550,19500,18200,1450,17900,16700,
11,78,"IMP"," ",13.8,"BRAWLEY, WEST JCT. RTE.   111, EIGHTH/MAIN STREETS                                                            ",1450,17900,16700,1650,20200,18800,
11,78,"IMP"," ",14.04,"BRAWLEY, TENTH STREET                                                                                         ",1650,20200,18800,1250,15700,14600,
11,78,"IMP"," ",14.55,"BRAWLEY, EASTERN AVENUE                                                                                       ",950,11800,11000,820,10200,9500,
11,78,"IMP"," ",15.04,"EAST JCT. RTE. 111, BEST ROAD                                                                                 ",720,8900,8300,270,3500,3150,
11,78,"IMP"," ",18.65,"WEST JCT. RTE. 115                                                                                            ",270,3500,3150,260,3200,2950,
11,78,"IMP"," ",21.02,"EAST JCT. RTE. 115                                                                                            ",260,3200,2950,160,1700,1550,
11,78,"IMP"," ",41,"GLAMIS                                                                                                        ",190,2050,1850,110,1100,1000,
11,78,"IMP"," ",52.35,"OGILBY ROAD                                                                                                   ",110,1100,1000,170,1750,1600,
11,78,"IMP"," ",80.44,"PALO VERDE, FOURTH/MAIN STREETS                                                                               ",170,1750,1600,180,1950,1850,
11,78,"IMP"," ",80.74,"IMPERIAL-RIVERSIDE COUNTY LINE                                                                                ",180,1950,1850,"      ","       ","       ",
8,78,"RIV"," ",0,"IMPERIAL-RIVERSIDE COUNTY LINE                                                                                ","      ","       ","       ",180,1950,1850,
8,78,"RIV"," ",3.06,"32ND AVENUE/PALO VERDE BOULEVARD                                                                              ",190,2300,2200,120,1400,1350,
8,78,"RIV"," ",6.35,"RANNELLS BOULEVARD/28TH AVENUE                                                                                ",120,1400,1350,150,1800,1700,
8,78,"RIV"," ",9.35,"28TH AVENUE/NEIGHBORS BOULEVARD                                                                               ",150,1800,1700,170,2000,1900,
8,78,"RIV"," ",10.62,"RIPLEY, BROADWAY STREET                                                                                       ",170,2000,1900,240,2850,2800,
8,78,"RIV"," ",16.17,"JCT. RTE. 10                                                                                                  ",240,2850,2800,"      ","       ","       ",
11,79," SD"," ","       ","SAN DIEGO COUNTY                                                                                              ","      ","       ","       ","      ","       ","       ",
11,79," SD","L",0.04,"JCT. RTE. 8                                                                                                   ","      ","       ","       ",610,5400,5100,
11,79," SD","L",1.3,"DESCANSO, RIVERSIDE DRIVE                                                                                     ",610,5400,5100,370,3250,3050,
11,79," SD","L",2.75,"GUATAY AND PINE VALLEY HIGH=  WAY (MILEPOST EQUATION)                                                         ",370,3250,3050,370,2900,2600,
11,79," SD"," ",9.27,"PASO PICACHO CAMP GROUND                                                                                      ",230,1850,1650,230,1850,1650,
11,79," SD"," ",14.44,"SUNRISE HIGHWAY                                                                                               ",230,1850,1650,230,1850,1650,
11,79," SD"," ",20.22,"JULIAN, EAST JCT. RTE. 78                                                                                     ",380,3000,2850,"      ","       ","       ",
11,79," SD"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
11,79," SD"," ",20.23,"SANTA YSABEL, WEST JCT. RTE. 78                                                                               ","      ","       ","       ",320,3150,2750,
11,79," SD"," ",27.37,"JCT. RTE. 76 WEST                                                                                             ",270,2600,2300,370,3050,2700,
11,79," SD"," ",31.7,"SAN FELIPE ROAD                                                                                               ",370,3050,2700,240,2000,1750,
11,79," SD"," ",35.07,"WARNER SPRINGS, LOS TULES ROAD                                                                                ",240,2000,1750,180,1550,1350,
11,79," SD"," ",44.09,"SUNSHINE SUMMIT                                                                                               ",230,1950,1700,200,1800,1600,
11,79," SD"," ",53.04,"SAN DIEGO-RIVERSIDE   COUNTY LINE                                                                             ",200,1800,1600,"      ","       ","       ",
8,79,"RIV"," ",0,"SAN DIEGO-RIVERSIDE   COUNTY LINE                                                                             ","      ","       ","       ",200,1800,1600,
8,79,"RIV"," ",2.27,"AGUANGA, JCT. RTE. 371   EAST, CAHILLA ROAD                                                                   ",200,1800,1600,570,5500,5200,
8,79,"RIV"," ",5.8,"SAGE ROAD                                                                                                     ",570,5500,5200,800,10500,10000,
8,79,"RIV"," ",19.07,"TEMECULA, PALA ROAD                                                                                           ",800,10500,10000,1450,20900,20000,
8,79,"RIV"," ",19.79,"SOUTH JCT. RTE. 15;   TEMECULA, SOUTH                                                                         ",1450,20900,20000,"      ","       ","       ",
8,79,"RIV"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
8,79,"RIV","R",2.28,"TEMECULA, NORTH JCT. RTE. 15                                                                                  ","      ","       ","       ",2000,28000,27000,
8,79,"RIV","M",7.73,"MILEPOST EQUATION  =R7.88                                                                                     ",,,,,,,
8,79,"RIV","R",16.67,"SIMPSON AVENUE                                                                                                ",880,12100,11000,620,8600,7500,
8,79,"RIV","R",19.16,"HEMET, WEST JCT. RTE. 74                                                                                      ",620,8600,7500,"      ","       ","       ",
8,79,"RIV"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
8,79,"RIV"," ",25.65,"HEMET, EAST JCT. RTE. 74,   FLORIDA AVENUE                                                                    ","      ","       ","       ",2000,22000,20000,
8,79,"RIV"," ",26.4,"MENLO AVENUE                                                                                                  ",1700,18700,17000,1600,17600,16000,
8,79,"RIV"," ",28.17,"SAN JACINTO AVENUE/MAIN STREET                                                                                ",1600,17600,16000,1150,12400,11300,
8,79,"RIV","R",29.19,"CENTRAL AVENUE/STATE STREET                                                                                   ",1150,12700,11500,1200,13100,11800,
8,79,"RIV","R",29.64,"MILEPOST EQUATION   =29.81                                                                                    ",,,,,,,
8,79,"RIV"," ",29.88,"RAMONA EXPRESSWAY                                                                                             ",1200,13100,11800,400,4200,3950,
8,79,"RIV"," ",31.32,"SOBOBA ROAD; SAN JACINTO, NORTH                                                                               ",400,4200,3950,400,4200,3950,
8,79,"RIV"," ",33.88,"GILMAN SPRINGS ROAD/   SANDERSON AVENUE                                                                       ",400,4250,4000,1550,16600,15700,
8,79,"RIV"," ",39.19,"CALIFORNIA AVENUE                                                                                             ",1550,16600,15700,1450,16600,15700,
8,79,"RIV"," ",40.45,"BEAUMONT, JCT. RTE. 10,   BEAUMONT AVENUE INTERCHANGE                                                         ",1450,16600,15700,"      ","       ","       ",
4,80," SF"," ","       ","SAN FRANCISCO COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
4,80," SF"," ",3.95,"SAN FRANCISCO, JCT. RTE. 101  DIVISION STREET; BEGIN FREEWAY                                                  ","      ","       ","       ",19000,224000,212000,
4,80," SF"," ",4.4,"SAN FRANCISCO, 7TH/8TH   STREETS INTERCHANGE                                                                  ",19000,224000,212000,18400,216000,205000,
4,80," SF"," ",4.99,"MILEPOST EQUATION    =5.04                                                                                    ",,,,,,,
4,80," SF"," ",5.45,"SAN FRANCISCO, BRYANT/5TH   STREETS; BAY BRIDGE CONNECTIONS                                                   ",18400,216000,205000,16900,198000,188000,
4,80," SF"," ",5.56,"FIRST/HARRISON STREETS;   BAY BRIDGE CONNECTIONS                                                              ",16900,198000,188000,21800,282000,272000,
4,80," SF"," ",7.72,"TREASURE ISLAND;   YERBA BUENA ISLAND                                                                         ",21800,282000,272000,19700,282000,274000,
4,80," SF"," ",8.85,"SAN FRANCISCO COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
4,80,"ALA"," ",0,"ALAMEDA COUNTY (OAKLAND   WEST CITY LIMITS)                                                                   ","      ","       ","       ","      ","       ","       ",
4,80,"ALA"," ",1.99,"OAKLAND, SAN FRANCISCO-   OAKLAND BAY BRIDGE TOLL PLAZA                                                       ",19700,282000,274000,19700,282000,274000,
4,80,"ALA"," ",2.41,"OAKLAND, WEST GRAND AVE=   NUE INTERCHANGE; PORT OF OAKLAND                                                   ",19700,282000,274000,18400,271000,257000,
4,80,"ALA"," ",2.8,"OAKLAND, JCT. RTE. 580 EAST                                                                                   ",18400,271000,257000,18300,270000,256000,
4,80,"ALA"," ",3.21,"OAKLAND, JCT. RTE. 880 SOUTH                                                                                  ","      ","       ","       ","      ","       ","       ",
4,80,"ALA"," ",3.79,"EMERYVILLE, POWELL STREET INTERCHANGE                                                                         ",17900,262000,251000,20900,246000,233000,
4,80,"ALA"," ",4.58,"BERKELEY, JCT. RTE. 13   EAST, ASHBY AVENUE INTERCHANGE                                                       ",20900,246000,233000,20500,239000,227000,
4,80,"ALA"," ",5.82,"BERKELEY, UNIVERSITY AVENUE INTERCHANGE                                                                       ",20500,239000,227000,20500,239000,227000,
4,80,"ALA"," ",6.62,"BERKELEY, GILMAN STREET INTERCHANGE                                                                           ",20500,239000,227000,21400,251000,237000,
4,80,"ALA"," ",7.3,"ALBANY, JCT. RTE. 580,   BUCHANAN STREET INTERCHANGE                                                          ",21400,251000,237000,13800,154000,145000,
4,80,"ALA"," ",7.6,"ALBANY, PIERCE STREET INTERCHANGE                                                                             ",13800,154000,145000,14700,160000,150000,
4,80,"ALA"," ",8.04,"ALAMEDA COUNTY (ALBANY   NORTH CITY LIMITS)                                                                   ","      ","       ","       ","      ","       ","       ",
4,80," CC"," ",0,"CONTRA COSTA COUNTY (RICH=   MOND SOUTH CITY LIMITS)RICHMOND, CENTRAL AVENUE INTERCHANGE                      ",14700,160000,150000,15400,160000,151000,
4,80," CC"," ",1,"RICHMOND, CARLSON   BOULEVARD INTERCHANGE                                                                     ",15400,160000,151000,16500,167000,157000,
4,80," CC"," ",1.67,"RICHMOND, POTRERO AVENUE INTERCHANGE                                                                          ",16500,167000,157000,15100,153000,144000,
4,80," CC"," ",2.04,"RICHMOND, JCT. RTE. 123   SOUTH, CUTTING BOULEVARD INTERCHANGE                                                ",15100,153000,144000,17600,178000,167000,
4,80," CC"," ",2.62,"RICHMOND, MAC DONALD   AVENUE CONNECTION                                                                      ",17600,178000,167000,16500,168000,157000,
4,80," CC"," ",2.96,"RICHMOND, SAN PABLO   AVENUE CONNECTION                                                                       ",16500,168000,157000,18000,183000,171000,
4,80," CC"," ",3.41,"RICHMOND, SOLANO AVENUE CONNECTION                                                                            ",18000,183000,171000,17200,175000,163000,
4,80," CC"," ",3.8,"RICHMOND, MC BRYDE   AVENUE CONNECTION                                                                        ",17200,175000,163000,16200,181000,170000,
4,80," CC"," ",4.34,"SAN PABLO, SAN PABLO   DAM ROAD INTERCHANGE                                                                   ",16200,181000,170000,12800,171000,159000,
4,80," CC"," ",5.25,"EL PORTAL DRIVE INTERCHANGE                                                                                   ",12800,171000,159000,12100,170000,159000,
4,80," CC"," ",5.98,"RICHMOND, HILLTOP   DRIVE INTERCHANGE                                                                         ",12100,170000,159000,10800,158000,150000,
4,80," CC"," ",7.6,"PINOLE, APPIAN WAY INTERCHANGE                                                                                ",10800,158000,150000,11100,165000,151000,
4,80," CC"," ",8.51,"PINOLE, PINOLE VALLEY   ROAD INTERCHANGE                                                                      ",11100,165000,151000,10800,159000,145000,
4,80," CC"," ",10.06,"HERCULES, JCT. RTE. 4 EAST                                                                                    ",10800,159000,145000,12600,120000,111000,
4,80," CC"," ",10.69,"HERCULES, WILLOW AVENUE INTERCHANGE                                                                           ",12600,120000,111000,12600,114000,105000,
4,80," CC"," ",12.75,"CUMMINGS SKYWAY INTERCHANGE                                                                                   ",12600,114000,105000,12600,114000,105000,
4,80," CC"," ",13.49,"CROCKETT INTERCHANGE                                                                                          ",12600,114000,105000,8000,110000,105000,
4,80," CC"," ",14.14,"CONTRA COSTA COUNTY                                                                                           ","      ","       ","       ","      ","       ","       ",
4,80,"SOL"," ",1.14,"VALLEJO, JCT. RTE. 29 NORTHWEST                                                                               ","      ","       ","       ",10400,107000,98000,
4,80,"SOL"," ",1.78,"VALLEJO, MAGAZINE STREET                                                                                      ",10400,107000,98000,10900,115000,106000,
4,80,"SOL"," ",2.22,"VALLEJO, JCT. RTE. 780 SOUTHEAST                                                                              ",10900,115000,106000,11900,131000,120000,
4,80,"SOL"," ",2.88,"VALLEJO, GEORGIA STREET                                                                                       ",11900,131000,120000,12000,136000,125000,
4,80,"SOL"," ",3.23,"VALLEJO, SPRINGS ROAD                                                                                         ",12000,136000,125000,11600,137000,126000,
4,80,"SOL"," ",3.49,"VALLEJO, TENNESSEE STREET                                                                                     ",11600,137000,126000,11100,136000,125000,
4,80,"SOL"," ",4.43,"VALLEJO, REDWOOD STREET                                                                                       ",11100,136000,125000,9000,124000,114000,
4,80,"SOL"," ",5.63,"JCT. RTE. 37 WEST                                                                                             ",9000,124000,114000,8300,97000,87000,
4,80,"SOL"," ",6.81,"SOLANO-NAPA COUNTY LINE                                                                                       ","      ","       ","       ","      ","       ","       ",
4,80,"SOL"," ",8,"NAPA-SOLANO COUNTY LINE                                                                                       ","      ","       ","       ","      ","       ","       ",
4,80,"SOL"," ",8.1,"AMERICAN CANYON ROAD                                                                                          ",8300,97000,87000,9000,99000,88000,
4,80,"SOL","R",11.39,"FAIRFIELD, RED TOP ROAD                                                                                       ",9000,99000,88000,9000,99000,88000,
4,80,"SOL","R",11.98,"FAIRFIELD, JCT. RTE. 12 WEST                                                                                  ",9000,99000,88000,10500,125000,114000,
4,80,"SOL","R",12.22,"MILEPOST EQUATION   =12.20                                                                                    ",,,,,,,
4,80,"SOL"," ",12.84,"JCT. RTE. 680 SOUTH                                                                                           ",10500,125000,114000,14100,172000,156000,
4,80,"SOL"," ",13.49,"FAIRFIELD, SUISUN VALLEY ROAD                                                                                 ",14100,172000,156000,14400,182000,165000,
4,80,"SOL"," ",15.82,"FAIRFIELD, EAST JCT. RTE. 12                                                                                  ",14400,182000,165000,13300,161000,145000,
4,80,"SOL"," ",17.92,"FAIRFIELD, TRAVIS   BOULEVARD INTERCHANGE                                                                     ",13300,161000,145000,13400,164000,149000,
4,80,"SOL"," ",19.18,"FAIRFIELD, AIRBASE   PARKWAY INTERCHANGE                                                                      ",13400,164000,149000,11700,140000,128000,
4,80,"SOL"," ",20.8,"FAIRFIELD, NORTH TEXAS   STREET INTERCHANGE                                                                   ",11700,140000,128000,12700,152000,136000,
4,80,"SOL"," ",23.96,"PLEASANT VALLEY INTERCHANGE                                                                                   ",12700,152000,136000,12500,148000,134000,
4,80,"SOL","R",25.31,"VACAVILLE, ALAMO AVENUE INTERCHANGE                                                                           ",12500,148000,134000,11500,138000,123000,
4,80,"SOL","R",26.01,"VACAVILLE, DAVIS STREET INTERCHANGE                                                                           ",11500,138000,123000,11100,136000,118000,
4,80,"SOL","R",27.24,"VACAVILLE, MONTE VISTA INTERCHANGE                                                                            ",11100,136000,118000,10200,122000,109000,
4,80,"SOL","R",28.36,"VACAVILLE, JCT. RTE. 505 NORTH                                                                                ",10200,122000,109000,8700,105000,93000,
4,80,"SOL"," ",35.55,"DIXON AVENUE/GRANT ROAD                                                                                       ",8600,108000,95000,8700,100000,93000,
4,80,"SOL"," ",38.21,"JCT. RTE. 113 SOUTH                                                                                           ",8700,100000,93000,9200,111000,98000,
4,80,"SOL"," ",42.67,"JCT. RTE. 113 NORTH                                                                                           ",9100,108000,97000,9400,111000,100000,
4,80,"SOL","R",44.72,"SOLANO-YOLO COUNTY LINE                                                                                       ",9400,111000,100000,"      ","       ","       ",
3,80,"YOL"," ",0,"SOLANO-YOLO COUNTY LINE                                                                                       ","      ","       ","       ",9400,111000,100000,
3,80,"YOL"," ",0.23,"RICHARDS BOULEVARD   INTERCHANGE (TO DAVIS)                                                                   ",9400,111000,100000,9700,113000,103000,
3,80,"YOL"," ",0.84,"DAVIS, OLIVE AVENUE   (WESTBOUND OFF RAMP TO DAVIS)                                                           ",9700,113000,103000,9800,115000,105000,
3,80,"YOL"," ",2.68,"DAVIS, MACE BOULEVARD   INTERCHANGE (COUNTY ROAD 104)                                                         ",9800,115000,105000,10500,125000,113000,
3,80,"YOL"," ",5.78,"WEBSTER INTERCHANGE   (ROAD 32/CHILES ROAD)                                                                   ",10500,125000,113000,10500,128000,115000,
3,80,"YOL"," ",9.18,"WEST SACRAMENTO, YOLO   CAUSEWAY/WEST CAPITOL AVENUE INTERCHAN                                                ",10500,128000,115000,11200,131000,121000,
3,80,"YOL","R",9.91,"WEST SACRAMENTO, JCT. RTE. 50                                                                                 ",11200,131000,121000,4700,52000,49000,
3,80,"YOL","R",11.23,"WEST SACRAMENTO,   JCT. RTE. 84 EAST                                                                          ",4700,52000,49000,5600,61000,57000,
3,80,"YOL","R",11.72,"YOLO COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
3,80,"SAC","M",0,"SACRAMENTO COUNTY WEST EL CAMINO AVENUE INTERCHANGE                                                           ",5600,61000,57000,5600,62000,55000,
3,80,"SAC","M",2.55,"SACRAMENTO, JCT. RTE. 5                                                                                       ",5600,62000,55000,9300,104000,100000,
3,80,"SAC","M",4.98,"SACRAMENTO, NORTHGATE   BOULEVARD INTERCHANGE                                                                 ",9300,104000,100000,10200,113000,102000,
3,80,"SAC","M",6.12,"SACRAMENTO, NORWOOD AVENUE INTERCHANGE                                                                        ",10200,113000,102000,10800,114000,103000,
3,80,"SAC","M",7.63,"SACRAMENTO, RALEY BOULEVARD INTERCHANGE                                                                       ",10800,114000,103000,10000,102000,99000,
3,80,"SAC","M",8.67,"SACRAMENTO, WINTERS STREET INTERCHANGE                                                                        ",10000,102000,99000,10400,108000,102000,
3,80,"SAC","M",9.4,"SACRAMENTO, LONGVIEW DRIVE INTERCHANGE                                                                        ",10400,108000,102000,10100,115000,107000,
3,80,"SAC","M",10.36,"WATT AVENUE INTERCHANGE                                                                                       ",10100,115000,107000,10600,104000,99000,
3,80,"SAC","M",10.38,"MILEPOST EQUATION  =R10.66                                                                                    ",,,,,,,
3,80,"SAC","R",10.99,"JCT. RTE. 51                                                                                                  ",10600,104000,99000,20000,215000,204000,
3,80,"SAC","R",11.11,"JCT. RTE. 244                                                                                                 ","      ","       ","       ","      ","       ","       ",
3,80,"SAC","R",11.55,"MILEPOST EQUATION  =11.68                                                                                     ",,,,,,,
3,80,"SAC"," ",12.48,"MADISON AVENUE INTERCHANGE                                                                                    ",18100,224000,209000,16000,189000,180000,
3,80,"SAC"," ",14.45,"GREENBACK LANE/ELKHORN   BOULEVARD INTERCHANGE                                                                ",16000,189000,180000,12800,149000,141000,
3,80,"SAC"," ",16.69,"ANTELOPE ROAD INTERCHANGE                                                                                     ",12800,149000,141000,12400,147000,130000,
3,80,"SAC"," ",18,"SACRAMENTO COUNTY                                                                                             ","      ","       ","       ","      ","       ","       ",
3,80,"PLA"," ",0,"PLACER COUNTY (ROSEVILLE   SOUTH CITY LIMITS)ROSEVILLE, RIVERSIDE DRIVE                                       ",12000,146000,131000,10900,130000,121000,
3,80,"PLA"," ",1.98,"ROSEVILLE, DOUGLAS   BOULEVARD INTERCHANGE                                                                    ",10900,130000,121000,10800,128000,117000,
3,80,"PLA"," ",3.07,"ROSEVILLE, EAST ROSEVILLE   INTERCHANGE (ATLANTIC STREET)                                                     ",10800,128000,117000,10600,129000,120000,
3,80,"PLA"," ",3.66,"ROSEVILLE, TAYLOR ROAD INTERCHANGE                                                                            ",10600,129000,120000,9300,112000,102000,
3,80,"PLA"," ",4.16,"ROSEVILLE, JCT. RTE. 65                                                                                       ",9300,112000,102000,8100,93000,86000,
3,80,"PLA"," ",6.06,"ROCKLIN, ROCKLIN ROAD INTERCHANGE                                                                             ",8100,93000,86000,7900,91000,83000,
3,80,"PLA"," ",7.42,"ROCKLIN, SIERRA COLLEGE BOULEVARD                                                                             ",7900,91000,83000,7400,88000,80000,
3,80,"PLA"," ",8.72,"LOOMIS, NIXON-LOOMIS   ROAD INTERCHANGE                                                                       ",7400,88000,80000,7500,81000,74000,
3,80,"PLA"," ",10.35,"PENRYN ROAD INTERCHANGE                                                                                       ",7500,81000,74000,7100,79000,73000,
3,80,"PLA"," ",13.81,"NEWCASTLE ROAD INTERCHANGE                                                                                    ",7100,79000,73000,7000,76000,70000,
3,80,"PLA"," ",14.3,"NEWCASTLE, JCT. RTE. 193 WEST                                                                                 ",7000,76000,70000,6900,74000,67000,
3,80,"PLA"," ",16.85,"AUBURN, AUBURN RAVINE/   OPHIR ROADS INTERCHANGE                                                              ",6900,74000,67000,6400,73000,66000,
3,80,"PLA"," ",17.29,"AUBURN, NEVADA STREET INTERCHANGE                                                                             ",6400,73000,66000,6300,70000,62000,
3,80,"PLA"," ",17.54,"AUBURN, JCT. RTE. 49                                                                                          ",6300,70000,62000,5600,60000,56000,
3,80,"PLA"," ",17.83,"AUBURN, ELM AVENUE INTERCHANGE                                                                                ",5600,60000,56000,5200,59000,52000,
3,80,"PLA","R",18.94,"LINCOLN WAY CONNECTION                                                                                        ",5200,59000,52000,4950,56000,48000,
3,80,"PLA","R",19.47,"AUBURN RAVINE/AUBURN-   FORESTHILL ROADS INTERCHANGE                                                          ",4950,56000,48000,5000,55000,47500,
3,80,"PLA","R",20.13,"BOWMAN INTERCHANGE                                                                                            ",5000,55000,47500,5100,55000,46500,
3,80,"PLA","R",21.13,"HAINES/BELL ROADS INTERCHANGE                                                                                 ",5100,55000,46500,4800,48000,45000,
3,80,"PLA","R",22.21,"DRY CREEK ROAD INTERCHANGE                                                                                    ",4800,48000,45000,4450,53000,42000,
3,80,"PLA","R",23.43,"CLIPPER GAP ROAD INTERCHANGE                                                                                  ",4450,53000,42000,4400,51000,40000,
3,80,"PLA","R",23.61,"MILEPOST EQUATION   =23.68                                                                                    ",,,,,,,
3,80,"PLA","R",26.21,"APPLEGATE ROAD INTERCHANGE                                                                                    ",4400,51000,40000,4250,42000,35500,
3,80,"PLA","R",26.98,"MILEPOST EQUATION   =26.92                                                                                    ",,,,,,,
3,80,"PLA"," ",27.39,"HEATHER GLEN INTERCHANGE                                                                                      ",4250,42000,35500,4150,39000,34500,
3,80,"PLA"," ",28.59,"WEIMAR ROAD INTERCHANGE                                                                                       ",4150,39000,34500,4100,38500,34000,
3,80,"PLA"," ",29.32,"WEIMAR CROSSROAD INTERCHANGE                                                                                  ",4100,38500,34000,4050,38000,33500,
3,80,"PLA"," ",31.79,"ILLINOIS TOWN INTERCHANGE                                                                                     ",4050,38000,33500,4050,37500,33000,
3,80,"PLA"," ",33.13,"COLFAX, JCT. RTE. 174 NORTH                                                                                   ",4050,37500,33000,3800,34000,29500,
3,80,"PLA"," ",37.78,"MAGRA ROAD INTERCHANGE                                                                                        ",3800,34000,29500,3750,33000,28000,
3,80,"PLA"," ",38.35,"ALPINE INTERCHANGE                                                                                            ",3750,33000,28000,3700,31500,27000,
3,80,"PLA"," ",41.37,"GOLD RUN INTERCHANGE                                                                                          ",3700,31500,27000,3650,30500,26500,
